match_id,team1_comp,team2_comp,match_win,map_win
10223,"['D.Va', 'Genji', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Genji', 'Junkrat', 'McCree', 'Mercy', 'Tracer', 'Winston', 'Zenyatta']",win,win
10223,"['D.Va', 'Genji', 'Junkrat', 'McCree', 'Mercy', 'Tracer', 'Winston', 'Zenyatta']","['D.Va', 'Genji', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose
10223,"['D.Va', 'Genji', 'Lúcio', 'McCree', 'Mercy', 'Pharah', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Pharah', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win
10223,"['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Pharah', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Genji', 'Lúcio', 'McCree', 'Mercy', 'Pharah', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose
10223,"['Bastion', 'D.Va', 'Lúcio', 'Mercy', 'Soldier: 76', 'Tracer', 'Winston', 'Zenyatta']","['Ana', 'D.Va', 'Genji', 'McCree', 'Mercy', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win
10223,"['Ana', 'D.Va', 'Genji', 'McCree', 'Mercy', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['Bastion', 'D.Va', 'Lúcio', 'Mercy', 'Soldier: 76', 'Tracer', 'Winston', 'Zenyatta']",lose,lose
10223,"['D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mercy', 'Orisa', 'Soldier: 76', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mercy', 'Moira', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win
10223,"['D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mercy', 'Moira', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mercy', 'Orisa', 'Soldier: 76', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose
10224,"['D.Va', 'Doomfist', 'Genji', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'McCree', 'Mercy', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win
10224,"['D.Va', 'McCree', 'Mercy', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Doomfist', 'Genji', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose
10224,"['D.Va', 'Mercy', 'Pharah', 'Soldier: 76', 'Tracer', 'Winston', 'Zenyatta']","['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Moira', 'Pharah', 'Reinhardt', 'Roadhog', 'Soldier: 76', 'Tracer', 'Winston', 'Zarya', 'Zenyatta']",win,win
10224,"['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Moira', 'Pharah', 'Reinhardt', 'Roadhog', 'Soldier: 76', 'Tracer', 'Winston', 'Zarya', 'Zenyatta']","['D.Va', 'Mercy', 'Pharah', 'Soldier: 76', 'Tracer', 'Winston', 'Zenyatta']",lose,lose
10224,"['D.Va', 'Genji', 'Lúcio', 'Mercy', 'Pharah', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Moira', 'Pharah', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win
10224,"['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Moira', 'Pharah', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Genji', 'Lúcio', 'Mercy', 'Pharah', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose
10224,"['Ana', 'D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Doomfist', 'Junkrat', 'McCree', 'Mercy', 'Orisa', 'Reaper', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win
10224,"['D.Va', 'Doomfist', 'Junkrat', 'McCree', 'Mercy', 'Orisa', 'Reaper', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['Ana', 'D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose
10225,"['D.Va', 'Junkrat', 'Lúcio', 'McCree', 'Mercy', 'Orisa', 'Roadhog', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Lúcio', 'Mercy', 'Pharah', 'Sombra', 'Tracer', 'Winston']",lose,lose
10225,"['D.Va', 'Lúcio', 'Mercy', 'Pharah', 'Sombra', 'Tracer', 'Winston']","['D.Va', 'Junkrat', 'Lúcio', 'McCree', 'Mercy', 'Orisa', 'Roadhog', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win
10225,"['Bastion', 'D.Va', 'Hanzo', 'Junkrat', 'McCree', 'Mercy', 'Orisa', 'Pharah', 'Reaper', 'Roadhog', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Zenyatta']","['Ana', 'D.Va', 'Hanzo', 'Junkrat', 'Lúcio', 'Mercy', 'Reaper', 'Reinhardt', 'Roadhog', 'Soldier: 76', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zarya', 'Zenyatta']",win,lose
10225,"['Ana', 'D.Va', 'Hanzo', 'Junkrat', 'Lúcio', 'Mercy', 'Reaper', 'Reinhardt', 'Roadhog', 'Soldier: 76', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zarya', 'Zenyatta']","['Bastion', 'D.Va', 'Hanzo', 'Junkrat', 'McCree', 'Mercy', 'Orisa', 'Pharah', 'Reaper', 'Roadhog', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Zenyatta']",lose,win
10225,"['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Reinhardt', 'Soldier: 76', 'Torbjörn', 'Tracer', 'Widowmaker', 'Winston', 'Zarya', 'Zenyatta']","['Ana', 'D.Va', 'Doomfist', 'Genji', 'Junkrat', 'Lúcio', 'McCree', 'Mercy', 'Pharah', 'Reaper', 'Reinhardt', 'Soldier: 76', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zarya', 'Zenyatta']",lose,lose
10225,"['Ana', 'D.Va', 'Doomfist', 'Genji', 'Junkrat', 'Lúcio', 'McCree', 'Mercy', 'Pharah', 'Reaper', 'Reinhardt', 'Soldier: 76', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zarya', 'Zenyatta']","['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Reinhardt', 'Soldier: 76', 'Torbjörn', 'Tracer', 'Widowmaker', 'Winston', 'Zarya', 'Zenyatta']",lose,win
10225,"['Ana', 'D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mei', 'Mercy', 'Orisa', 'Reaper', 'Roadhog', 'Soldier: 76', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['Ana', 'D.Va', 'Doomfist', 'Genji', 'Lúcio', 'Mei', 'Mercy', 'Orisa', 'Reaper', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose
10225,"['Ana', 'D.Va', 'Doomfist', 'Genji', 'Lúcio', 'Mei', 'Mercy', 'Orisa', 'Reaper', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['Ana', 'D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mei', 'Mercy', 'Orisa', 'Reaper', 'Roadhog', 'Soldier: 76', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win
10226,"['Ana', 'D.Va', 'Hanzo', 'Mercy', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['D.Va', 'Genji', 'Junkrat', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,lose
10226,"['D.Va', 'Genji', 'Junkrat', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['Ana', 'D.Va', 'Hanzo', 'Mercy', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,win
10226,"['Ana', 'D.Va', 'Doomfist', 'Mercy', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']","['Ana', 'D.Va', 'Genji', 'McCree', 'Mercy', 'Soldier: 76', 'Tracer', 'Winston', 'Zenyatta']",lose,lose
10226,"['Ana', 'D.Va', 'Genji', 'McCree', 'Mercy', 'Soldier: 76', 'Tracer', 'Winston', 'Zenyatta']","['Ana', 'D.Va', 'Doomfist', 'Mercy', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win
10226,"['D.Va', 'Doomfist', 'Genji', 'Junkrat', 'Lúcio', 'McCree', 'Mercy', 'Moira', 'Orisa', 'Reaper', 'Roadhog', 'Soldier: 76', 'Tracer', 'Winston', 'Zenyatta']","['Ana', 'D.Va', 'Genji', 'Junkrat', 'Lúcio', 'McCree', 'Mercy', 'Moira', 'Reinhardt', 'Roadhog', 'Tracer', 'Winston', 'Zarya', 'Zenyatta']",lose,lose
10226,"['Ana', 'D.Va', 'Genji', 'Junkrat', 'Lúcio', 'McCree', 'Mercy', 'Moira', 'Reinhardt', 'Roadhog', 'Tracer', 'Winston', 'Zarya', 'Zenyatta']","['D.Va', 'Doomfist', 'Genji', 'Junkrat', 'Lúcio', 'McCree', 'Mercy', 'Moira', 'Orisa', 'Reaper', 'Roadhog', 'Soldier: 76', 'Tracer', 'Winston', 'Zenyatta']",win,win
